# Element stress/strain results
# ElemID CenterX CenterY StrainX StrainY ShearXY StressX StressY ShearXY VonMises
0 0.025 0.025 1.87484e-05 -2.55125e-06 7.82465e-06 4.14994e+06 709219 631991 3.9975e+06
1 0.075 0.025 1.73841e-05 -4.95412e-06 1.76874e-06 3.66875e+06 60258.8 142860 3.64739e+06
2 0.125 0.025 1.66838e-05 -4.86143e-06 3.49726e-07 3.51354e+06 33162.3 28247.1 3.49742e+06
3 0.175 0.025 1.65516e-05 -4.93295e-06 -1.02552e-07 3.47809e+06 7506.22 -8283.01 3.47437e+06
4 0.225 0.025 1.66193e-05 -4.97661e-06 -2.37152e-07 3.4907e+06 2119.91 -19154.6 3.4898e+06
5 0.275 0.025 1.67576e-05 -5.03005e-06 -2.52609e-07 3.5189e+06 -640.669 -20403.1 3.5194e+06
6 0.325 0.025 1.69023e-05 -5.07739e-06 -2.20576e-07 3.54902e+06 -1543.72 -17815.8 3.54993e+06
7 0.375 0.025 1.70277e-05 -5.11578e-06 -1.73651e-07 3.57531e+06 -1720.62 -14025.6 3.57625e+06
8 0.425 0.025 1.71258e-05 -5.14441e-06 -1.27228e-07 3.59595e+06 -1540.96 -10276.1 3.59676e+06
9 0.475 0.025 1.71971e-05 -5.16448e-06 -8.78975e-08 3.61102e+06 -1234.7 -7099.42 3.61166e+06
10 0.525 0.025 1.7246e-05 -5.17777e-06 -5.75242e-08 3.62139e+06 -916.548 -4646.19 3.62185e+06
11 0.575 0.025 1.72778e-05 -5.18611e-06 -3.56061e-08 3.62814e+06 -640.534 -2875.88 3.62847e+06
12 0.625 0.025 1.72973e-05 -5.19102e-06 -2.06578e-08 3.6323e+06 -424.402 -1668.51 3.63252e+06
13 0.675 0.025 1.73085e-05 -5.1937e-06 -1.09787e-08 3.6347e+06 -267.082 -886.737 3.63483e+06
14 0.725 0.025 1.73143e-05 -5.19498e-06 -5.0301e-09 3.63595e+06 -159.144 -406.278 3.63603e+06
15 0.775 0.025 1.73168e-05 -5.19544e-06 -1.58247e-09 3.63651e+06 -88.6637 -127.815 3.63656e+06
16 0.825 0.025 1.73175e-05 -5.19545e-06 2.57563e-10 3.63667e+06 -43.9184 20.8032 3.63669e+06
17 0.875 0.025 1.73173e-05 -5.19524e-06 1.0653e-09 3.63662e+06 -13.955 86.0431 3.63663e+06
18 0.925 0.025 1.73166e-05 -5.19494e-06 1.11324e-09 3.6365e+06 12.3257 89.9152 3.63649e+06
19 0.975 0.025 1.73161e-05 -5.1947e-06 4.65349e-10 3.63639e+06 30.3197 37.5859 3.63638e+06
20 0.025 0.075 1.60123e-05 -1.32692e-06 5.94352e-06 3.60327e+06 802328 480054 3.38048e+06
21 0.075 0.075 1.72812e-05 -3.54366e-06 3.99602e-06 3.74264e+06 378625 322755 3.61195e+06
22 0.125 0.075 1.73141e-05 -4.63656e-06 1.43591e-06 3.67457e+06 128691 115977 3.61752e+06
23 0.175 0.075 1.71949e-05 -4.93445e-06 2.46344e-07 3.62644e+06 51696.4 19897 3.60103e+06
24 0.225 0.075 1.71401e-05 -5.07134e-06 -2.58726e-07 3.60431e+06 16312.4 -20897.1 3.59637e+06
25 0.275 0.075 1.71401e-05 -5.13666e-06 -4.20826e-07 3.59979e+06 1238.29 -33989.8 3.59965e+06
26 0.325 0.075 1.71673e-05 -5.17232e-06 -4.23115e-07 3.60359e+06 -5109.21 -34174.6 3.60664e+06
27 0.375 0.075 1.72022e-05 -5.191e-06 -3.59019e-07 3.61036e+06 -7003.62 -28997.7 3.61421e+06
28 0.425 0.075 1.72349e-05 -5.19981e-06 -2.7659e-07 3.61729e+06 -6772.33 -22340 3.62089e+06
29 0.475 0.075 1.72615e-05 -5.20295e-06 -1.98822e-07 3.62322e+06 -5653.98 -16058.7 3.62616e+06
30 0.525 0.075 1.72813e-05 -5.20311e-06 -1.34872e-07 3.62779e+06 -4316.69 -10893.5 3.63e+06
31 0.575 0.075 1.72952e-05 -5.20193e-06 -8.65984e-08 3.63107e+06 -3084.99 -6994.48 3.63263e+06
32 0.625 0.075 1.73043e-05 -5.20034e-06 -5.24208e-08 3.63329e+06 -2085.75 -4233.99 3.63434e+06
33 0.675 0.075 1.731e-05 -5.19881e-06 -2.95068e-08 3.6347e+06 -1339.27 -2383.24 3.63538e+06
34 0.725 0.075 1.73133e-05 -5.19754e-06 -1.49165e-08 3.63556e+06 -815.54 -1204.8 3.63596e+06
35 0.775 0.075 1.73151e-05 -5.19655e-06 -6.12559e-09 3.63603e+06 -466.014 -494.759 3.63626e+06
36 0.825 0.075 1.73159e-05 -5.19581e-06 -1.20511e-09 3.63627e+06 -239.537 -97.3361 3.63639e+06
37 0.875 0.075 1.73161e-05 -5.19522e-06 1.16825e-09 3.63636e+06 -88.1678 94.3588 3.63641e+06
38 0.925 0.075 1.73161e-05 -5.19469e-06 1.79004e-09 3.63638e+06 30.6284 144.58 3.63637e+06
39 0.975 0.075 1.73159e-05 -5.19418e-06 1.01556e-09 3.63637e+06 132.903 82.0256 3.63631e+06
40 0.025 0.125 1.54833e-05 -9.4994e-07 3.87686e-06 3.50731e+06 852706 313131 3.21431e+06
41 0.075 0.125 1.65184e-05 -2.70672e-06 3.08523e-06 3.62455e+06 518953 249192 3.42228e+06
42 0.125 0.125 1.71732e-05 -3.99455e-06 1.73037e-06 3.68651e+06 267098 139761 3.5687e+06
43 0.175 0.125 1.73779e-05 -4.69588e-06 5.63719e-07 3.68518e+06 119420 45531.2 3.6278e+06
44 0.225 0.125 1.74189e-05 -5.02393e-06 -6.70963e-08 3.67194e+06 46557.9 -5419.31 3.6489e+06
45 0.275 0.125 1.74112e-05 -5.17978e-06 -3.36305e-07 3.65936e+06 10055.2 -27163.1 3.65465e+06
46 0.325 0.125 1.73916e-05 -5.24574e-06 -4.00577e-07 3.65028e+06 -6521.79 -32354.3 3.65397e+06
47 0.375 0.125 1.73717e-05 -5.266e-06 -3.66359e-07 3.64428e+06 -12577.3 -29590.5 3.65094e+06
48 0.425 0.125 1.73548e-05 -5.26392e-06 -2.95165e-07 3.64052e+06 -13265.9 -23840.2 3.64741e+06
49 0.475 0.125 1.73417e-05 -5.25255e-06 -2.19122e-07 3.63829e+06 -11550 -17698.3 3.6442e+06
50 0.525 0.125 1.73322e-05 -5.23888e-06 -1.52694e-07 3.63704e+06 -9054.87 -12333 3.64163e+06
51 0.575 0.125 1.73256e-05 -5.22629e-06 -1.00579e-07 3.6364e+06 -6601.9 -8123.7 3.63973e+06
52 0.625 0.125 1.73213e-05 -5.21608e-06 -6.25851e-08 3.63612e+06 -4541.14 -5054.95 3.6384e+06
53 0.675 0.125 1.73187e-05 -5.20845e-06 -3.6458e-08 3.63604e+06 -2964.47 -2944.68 3.63752e+06
54 0.725 0.125 1.73172e-05 -5.20311e-06 -1.94123e-08 3.63606e+06 -1836.52 -1567.92 3.63698e+06
55 0.775 0.125 1.73164e-05 -5.19955e-06 -8.87717e-09 3.63612e+06 -1070.15 -717.002 3.63665e+06
56 0.825 0.125 1.7316e-05 -5.19726e-06 -2.79436e-09 3.63619e+06 -565.853 -225.699 3.63648e+06
57 0.875 0.125 1.73159e-05 -5.19575e-06 3.20035e-10 3.63626e+06 -229.228 25.849 3.63638e+06
58 0.925 0.125 1.73158e-05 -5.19464e-06 1.42172e-09 3.63632e+06 21.1669 114.831 3.63631e+06
59 0.975 0.125 1.73156e-05 -5.19358e-06 9.17119e-10 3.63635e+06 255.166 74.075 3.63623e+06
60 0.025 0.175 1.52652e-05 -8.0127e-07 2.22628e-06 3.46727e+06 871915 179815 3.13943e+06
61 0.075 0.175 1.62195e-05 -2.32216e-06 1.85851e-06 3.5822e+06 587007 150110 3.3379e+06
62 0.125 0.175 1.69309e-05 -3.56925e-06 1.19144e-06 3.66003e+06 348468 96231.9 3.50281e+06
63 0.175 0.175 1.73456e-05 -4.42052e-06 5.18359e-07 3.69679e+06 180727 41867.5 3.61054e+06
64 0.225 0.175 1.75186e-05 -4.91669e-06 4.81825e-08 3.70237e+06 78206.2 3891.66 3.6639e+06
65 0.275 0.175 1.756e-05 -5.17121e-06 -1.87093e-07 3.6943e+06 22335.6 -15111.4 3.68327e+06
66 0.325 0.175 1.75397e-05 -5.28407e-06 -2.65088e-07 3.68179e+06 -5115.98 -21410.9 3.68454e+06
67 0.375 0.175 1.74964e-05 -5.3188e-06 -2.58303e-07 3.66941e+06 -16123.6 -20862.9 3.67768e+06
68 0.425 0.175 1.74502e-05 -5.31477e-06 -2.15438e-07 3.65901e+06 -18398.6 -17400.8 3.66837e+06
69 0.475 0.175 1.74097e-05 -5.2947e-06 -1.63699e-07 3.65106e+06 -16568.4 -13221.9 3.65945e+06
70 0.525 0.175 1.73779e-05 -5.2708e-06 -1.16181e-07 3.64539e+06 -13251.1 -9383.88 3.65207e+06
71 0.575 0.175 1.73548e-05 -5.2489e-06 -7.78042e-08 3.64156e+06 -9801.09 -6284.18 3.64649e+06
72 0.625 0.175 1.73389e-05 -5.23124e-06 -4.92429e-08 3.63912e+06 -6822.63 -3977.31 3.64255e+06
73 0.675 0.175 1.73286e-05 -5.21811e-06 -2.9267e-08 3.63766e+06 -4503.45 -2363.87 3.63992e+06
74 0.725 0.175 1.73224e-05 -5.20894e-06 -1.60303e-08 3.63685e+06 -2821.49 -1294.76 3.63826e+06
75 0.775 0.175 1.73188e-05 -5.20286e-06 -7.71865e-09 3.63645e+06 -1665.03 -623.429 3.63728e+06
76 0.825 0.175 1.7317e-05 -5.19897e-06 -2.82679e-09 3.63629e+06 -896.67 -228.318 3.63674e+06
77 0.875 0.175 1.73161e-05 -5.1965e-06 -2.38029e-10 3.63627e+06 -383.454 -19.2254 3.63646e+06
78 0.925 0.175 1.73158e-05 -5.19476e-06 7.73572e-10 3.63631e+06 -6.59583 62.4808 3.63631e+06
79 0.975 0.175 1.73155e-05 -5.19315e-06 5.52074e-10 3.63635e+06 344.186 44.5906 3.63618e+06
80 0.025 0.225 1.519e-05 -7.41874e-07 7.25395e-07 3.45403e+06 880414 58589.6 3.11043e+06
81 0.075 0.225 1.60912e-05 -2.16202e-06 6.17193e-07 3.56368e+06 615078 49850.2 3.30055e+06
82 0.125 0.225 1.68166e-05 -3.37398e-06 4.15649e-07 3.64717e+06 385616 33571.6 3.47095e+06
83 0.175 0.225 1.72935e-05 -4.26797e-06 1.98597e-07 3.69533e+06 212327 16040.6 3.59398e+06
84 0.225 0.225 1.7539e-05 -4.83823e-06 3.4566e-08 3.7125e+06 97719.8 2791.87 3.66462e+06
85 0.275 0.225 1.76201e-05 -5.15246e-06 -5.69642e-08 3.70947e+06 30823.5 -4600.95 3.69416e+06
86 0.325 0.225 1.76101e-05 -5.29738e-06 -9.07413e-08 3.69713e+06 -3311.27 -7329.11 3.69881e+06
87 0.375 0.225 1.75607e-05 -5.34457e-06 -9.17824e-08 3.68246e+06 -17621.6 -7413.19 3.69133e+06
88 0.425 0.225 1.75018e-05 -5.34194e-06 -7.80255e-08 3.66904e+06 -21095.7 -6302.06 3.67965e+06
89 0.475 0.225 1.74478e-05 -5.31824e-06 -6.00225e-08 3.65823e+06 -19360.7 -4847.97 3.66796e+06
90 0.525 0.225 1.74044e-05 -5.28913e-06 -4.3e-08 3.65022e+06 -15651.5 -3473.08 3.65808e+06
91 0.575 0.225 1.73721e-05 -5.26218e-06 -2.9033e-08 3.64465e+06 -11663.7 -2344.98 3.6505e+06
92 0.625 0.225 1.73497e-05 -5.24031e-06 -1.85261e-08 3.64099e+06 -8168.72 -1496.34 3.64508e+06
93 0.675 0.225 1.7335e-05 -5.22399e-06 -1.11146e-08 3.63872e+06 -5421.9 -897.715 3.64143e+06
94 0.725 0.225 1.73258e-05 -5.21255e-06 -6.1657e-09 3.6374e+06 -3415.8 -497.999 3.63911e+06
95 0.775 0.225 1.73206e-05 -5.20496e-06 -3.03424e-09 3.63671e+06 -2028.26 -245.073 3.63772e+06
96 0.825 0.225 1.73177e-05 -5.2001e-06 -1.17424e-09 3.6364e+06 -1102.05 -94.8424 3.63695e+06
97 0.875 0.225 1.73164e-05 -5.19702e-06 -1.76078e-10 3.6363e+06 -482.417 -14.2217 3.63654e+06
98 0.925 0.225 1.73158e-05 -5.19487e-06 2.27976e-10 3.63631e+06 -28.9348 18.4134 3.63633e+06
99 0.975 0.225 1.73154e-05 -5.19294e-06 1.75917e-10 3.63635e+06 387.134 14.2087 3.63616e+06
100 0.025 0.275 1.519e-05 -7.41874e-07 -7.25395e-07 3.45403e+06 880414 -58589.6 3.11043e+06
101 0.075 0.275 1.60912e-05 -2.16202e-06 -6.17193e-07 3.56368e+06 615078 -49850.2 3.30055e+06
102 0.125 0.275 1.68166e-05 -3.37398e-06 -4.15649e-07 3.64717e+06 385616 -33571.6 3.47095e+06
103 0.175 0.275 1.72935e-05 -4.26797e-06 -1.98597e-07 3.69533e+06 212327 -16040.6 3.59398e+06
104 0.225 0.275 1.7539e-05 -4.83823e-06 -3.4566e-08 3.7125e+06 97719.8 -2791.87 3.66462e+06
105 0.275 0.275 1.76201e-05 -5.15246e-06 5.69642e-08 3.70947e+06 30823.5 4600.95 3.69416e+06
106 0.325 0.275 1.76101e-05 -5.29738e-06 9.07413e-08 3.69713e+06 -3311.27 7329.11 3.69881e+06
107 0.375 0.275 1.75607e-05 -5.34457e-06 9.17824e-08 3.68246e+06 -17621.6 7413.19 3.69133e+06
108 0.425 0.275 1.75018e-05 -5.34194e-06 7.80255e-08 3.66904e+06 -21095.7 6302.06 3.67965e+06
