# Element stress/strain results
# ElemID CenterX CenterY StrainX StrainY ShearXY StressX StressY ShearXY VonMises
52 0.625 0.125 2.94527e-05 -1.13032e-05 9.00486e-06 6.01424e+06 -569406 727316 6.44258e+06
53 0.675 0.125 2.99041e-05 -1.21434e-05 1.35364e-05 6.06025e+06 -732029 1.09332e+06 6.7294e+06
54 0.725 0.125 3.02826e-05 -1.26693e-05 1.93684e-05 6.11118e+06 -827195 1.56437e+06 7.10124e+06
55 0.775 0.125 3.00249e-05 -1.20394e-05 2.65462e-05 6.09532e+06 -699685 2.14412e+06 7.46317e+06
56 0.825 0.125 2.77306e-05 -8.76759e-06 3.47458e-05 5.79238e+06 -103479 2.80639e+06 7.60193e+06
57 0.875 0.125 2.03271e-05 5.39029e-08 4.1026e-05 4.6946e+06 1.4197e+06 3.31364e+06 7.0944e+06
58 0.925 0.125 5.569e-06 8.47763e-06 2.68754e-05 1.87207e+06 2.34192e+06 2.17071e+06 4.32908e+06
59 0.975 0.125 2.87963e-06 -1.56769e-07 2.09813e-06 653677 163182 169464 658338
60 0.025 0.175 2.51638e-05 -1.31261e-06 3.62913e-06 5.71615e+06 1.4392e+06 293122 5.17462e+06
61 0.075 0.175 2.67252e-05 -3.80734e-06 3.01707e-06 5.90376e+06 971588 243687 5.49914e+06
62 0.125 0.175 2.78863e-05 -5.85889e-06 1.9056e-06 6.02969e+06 578539 153914 5.76841e+06
63 0.175 0.175 2.85592e-05 -7.26912e-06 7.90658e-07 6.08735e+06 299689 63860.9 5.9442e+06
64 0.225 0.175 2.88393e-05 -8.11397e-06 3.04724e-08 6.09349e+06 124112 2461.24 6.03239e+06
65 0.275 0.175 2.89168e-05 -8.59563e-06 -3.01382e-07 6.07802e+06 18321.9 -24342.4 6.06902e+06
66 0.325 0.175 2.89228e-05 -8.90238e-06 -2.99597e-07 6.05818e+06 -52045.1 -24198.3 6.08452e+06
67 0.375 0.175 2.89478e-05 -9.17305e-06 -3.28012e-08 6.04521e+06 -112778 -2649.33 6.10238e+06
68 0.425 0.175 2.90652e-05 -9.51896e-06 4.92359e-07 6.04835e+06 -184478 39767.4 6.14305e+06
69 0.475 0.175 2.93495e-05 -1.00359e-05 1.33159e-06 6.07816e+06 -284097 107551 6.22786e+06
70 0.525 0.175 2.98882e-05 -1.08093e-05 2.59227e-06 6.14895e+06 -425261 209376 6.38254e+06
71 0.575 0.175 3.07873e-05 -1.19063e-05 4.42186e-06 6.28047e+06 -616183 357150 6.63902e+06
72 0.625 0.175 3.2166e-05 -1.3351e-05 7.00153e-06 6.49862e+06 -854130 565508 7.03361e+06
73 0.675 0.175 3.41358e-05 -1.50735e-05 1.05695e-05 6.83395e+06 -1.11524e+06 853694 7.59964e+06
74 0.725 0.175 3.67508e-05 -1.68229e-05 1.55368e-05 7.3163e+06 -1.33792e+06 1.25489e+06 8.3565e+06
75 0.775 0.175 3.99099e-05 -1.80455e-05 2.28293e-05 7.96067e+06 -1.40136e+06 1.84391e+06 9.31085e+06
76 0.825 0.175 4.30646e-05 -1.7484e-05 3.45151e-05 8.72755e+06 -1.05338e+06 2.78775e+06 1.0478e+07
77 0.875 0.175 4.42439e-05 -1.28023e-05 5.49523e-05 9.32383e+06 108662 4.43846e+06 1.20429e+07
78 0.925 0.175 3.31448e-05 9.82614e-06 8.27064e-05 8.32907e+06 4.56221e+06 6.68013e+06 1.36404e+07
79 0.975 0.175 -5.62599e-06 1.29878e-05 2.17714e-05 -399153 2.60768e+06 1.75846e+06 4.15653e+06
80 0.025 0.225 2.50267e-05 -1.21149e-06 1.18085e-06 5.69151e+06 1.45304e+06 95376.4 5.12464e+06
