# Element stress/strain results
# ElemID CenterX CenterY StrainX StrainY ShearXY StressX StressY ShearXY VonMises
0 0.025 0.025 9.37422e-06 -1.27562e-06 3.91233e-06 2.07497e+06 354609 315996 1.99875e+06
1 0.075 0.025 8.69207e-06 -2.47706e-06 8.84371e-07 1.83437e+06 30129.4 71430 1.8237e+06
2 0.125 0.025 8.34188e-06 -2.43071e-06 1.74863e-07 1.75677e+06 16581.2 14123.5 1.74871e+06
3 0.175 0.025 8.27579e-06 -2.46647e-06 -5.12758e-08 1.73904e+06 3753.11 -4141.51 1.73718e+06
4 0.225 0.025 8.30967e-06 -2.48831e-06 -1.18576e-07 1.74535e+06 1059.95 -9577.31 1.7449e+06
5 0.275 0.025 8.37879e-06 -2.51503e-06 -1.26305e-07 1.75945e+06 -320.334 -10201.5 1.7597e+06
6 0.325 0.025 8.45116e-06 -2.53869e-06 -1.10288e-07 1.77451e+06 -771.862 -8907.88 1.77497e+06
7 0.375 0.025 8.51387e-06 -2.55789e-06 -8.68253e-08 1.78765e+06 -860.309 -7012.81 1.78813e+06
8 0.425 0.025 8.56288e-06 -2.5722e-06 -6.36141e-08 1.79797e+06 -770.481 -5138.06 1.79838e+06
9 0.475 0.025 8.59854e-06 -2.58224e-06 -4.39488e-08 1.80551e+06 -617.348 -3549.71 1.80583e+06
10 0.525 0.025 8.623e-06 -2.58889e-06 -2.87621e-08 1.81069e+06 -458.274 -2323.09 1.81093e+06
11 0.575 0.025 8.63889e-06 -2.59306e-06 -1.78031e-08 1.81407e+06 -320.267 -1437.94 1.81423e+06
12 0.625 0.025 8.64864e-06 -2.59551e-06 -1.03289e-08 1.81615e+06 -212.201 -834.257 1.81626e+06
13 0.675 0.025 8.65423e-06 -2.59685e-06 -5.48933e-09 1.81735e+06 -133.541 -443.369 1.81742e+06
14 0.725 0.025 8.65714e-06 -2.59749e-06 -2.51505e-09 1.81798e+06 -79.572 -203.139 1.81802e+06
15 0.775 0.025 8.65842e-06 -2.59772e-06 -7.91233e-10 1.81826e+06 -44.3318 -63.9073 1.81828e+06
16 0.825 0.025 8.65877e-06 -2.59773e-06 1.28782e-10 1.81834e+06 -21.9592 10.4016 1.81835e+06
17 0.875 0.025 8.65863e-06 -2.59762e-06 5.32648e-10 1.81831e+06 -6.97749 43.0216 1.81831e+06
18 0.925 0.025 8.65831e-06 -2.59747e-06 5.56618e-10 1.81825e+06 6.16283 44.9576 1.81824e+06
19 0.975 0.025 8.65806e-06 -2.59735e-06 2.32675e-10 1.8182e+06 15.1598 18.7929 1.81819e+06
20 0.025 0.075 8.00613e-06 -6.63461e-07 2.97176e-06 1.80164e+06 401164 240027 1.69024e+06
21 0.075 0.075 8.64061e-06 -1.77183e-06 1.99801e-06 1.87132e+06 189313 161378 1.80598e+06
22 0.125 0.075 8.65704e-06 -2.31828e-06 7.17956e-07 1.83728e+06 64345.7 57988.7 1.80876e+06
23 0.175 0.075 8.59744e-06 -2.46722e-06 1.23172e-07 1.81322e+06 25848.2 9948.51 1.80052e+06
24 0.225 0.075 8.57004e-06 -2.53567e-06 -1.29363e-07 1.80216e+06 8156.18 -10448.6 1.79818e+06
