# Element stress/strain results
# ElemID CenterX CenterY StrainX StrainY ShearXY StressX StressY ShearXY VonMises
0 0.025 0.025 1.57647e-06 -9.46686e-08 2.08024e-06 357246 87293.3 168020 434455
1 0.075 0.025 8.95547e-07 -1.51373e-07 8.34879e-07 196185 27067.2 67432.6 218065
2 0.125 0.025 5.61618e-07 -1.10016e-07 2.88256e-07 121988 13493.1 23282.2 122651
3 0.175 0.025 4.48611e-07 -1.10355e-07 4.28141e-08 95885.6 5591.11 3458.06 93408.2
4 0.225 0.025 4.45909e-07 -1.24217e-07 -6.19362e-08 94302.5 2205.24 -5002.54 93621.2
5 0.275 0.025 4.9183e-07 -1.45635e-07 -9.62007e-08 103417 441.811 -7770.06 104071
6 0.325 0.025 5.51701e-07 -1.67091e-07 -9.57129e-08 115748 -364.724 -7730.65 116701
7 0.375 0.025 6.08302e-07 -1.85336e-07 -8.03808e-08 127546 -656.701 -6492.3 128369
8 0.425 0.025 6.54612e-07 -1.99321e-07 -6.10653e-08 137265 -677.884 -4932.2 137870
9 0.475 0.025 6.89206e-07 -2.09271e-07 -4.31065e-08 144559 -579.166 -3481.68 144975
10 0.525 0.025 7.13309e-07 -2.15926e-07 -2.85706e-08 149661 -446.117 -2307.62 149938
11 0.575 0.025 7.29073e-07 -2.20125e-07 -1.77234e-08 153008 -323.764 -1431.5 153190
12 0.625 0.025 7.38624e-07 -2.22606e-07 -9.91169e-09 155041 -234.995 -800.56 155164
13 0.675 0.025 7.43576e-07 -2.2392e-07 -3.97594e-09 156092 -195.497 -321.134 156191
14 0.725 0.025 7.44718e-07 -2.24402e-07 1.72748e-09 156322 -227.643 139.527 156437
15 0.775 0.025 7.41688e-07 -2.24151e-07 9.72277e-09 155641 -379.563 785.3 155837
16 0.825 0.025 7.32498e-07 -2.23142e-07 2.46135e-08 153590 -783.017 1988.01 154021
17 0.875 0.025 7.12899e-07 -2.21338e-07 5.61718e-08 149192 -1723.38 4536.96 150266
18 0.925 0.025 6.78337e-07 -2.2234e-07 1.27198e-07 141147 -4347.43 10273.7 144470
19 0.975 0.025 6.15409e-07 -1.52469e-07 1.84415e-07 131462 7420.11 14895.1 130489
20 0.025 0.075 2.3965e-06 -5.85986e-08 2.43532e-06 548981 152389 196699 597508
21 0.075 0.075 2.47168e-06 -2.68987e-07 1.56946e-06 551766 109043 126764 551704
22 0.125 0.075 2.44567e-06 -4.906e-07 7.23474e-07 530420 56099.9 58434.4 514762
23 0.175 0.075 2.41185e-06 -6.02111e-07 2.0898e-07 514896 28025.4 16879.2 502322
24 0.225 0.075 2.4022e-06 -6.68747e-07 -5.53002e-08 508056 11979.9 -4466.55 502233
25 0.275 0.075 2.41124e-06 -7.08872e-07 -1.63962e-07 507365 3346.42 -13243.1 506220
26 0.325 0.075 2.42892e-06 -7.32731e-07 -1.86435e-07 509793 -935.636 -15058.2 510927
27 0.375 0.075 2.4481e-06 -7.45932e-07 -1.67302e-07 513305 -2654.08 -13512.8 515169
28 0.425 0.075 2.46512e-06 -7.52457e-07 -1.32926e-07 516780 -2981.82 -10736.3 518611
29 0.475 0.075 2.47864e-06 -7.55091e-07 -9.72979e-08 519718 -2653.55 -7858.68 521228
30 0.525 0.075 2.4886e-06 -7.55688e-07 -6.66527e-08 521976 -2101.53 -5383.49 523113
